dvanáct;dv-a-náct
stůl;stůl
zavřete;za-vř-e-te
sedlářovi;sed-l-ář-ovi
pokrok;po-krok
popadnOt;po-pad-nO-t
alimenty;ali-ment-y
poklesl;po-kles-l
kašpare;kašpar-e
zemřel;ze-mř-e-l
naléhat;na-léh-a-t
opOští;o-pOš-t-í
horny;horn-y
pták;pták
řemesel;řemesel
import;im-port
jůů;jůů
jdi;jd-i
nAka;n-Ak-a
pokračuje;po-krač-u-j-e
nejmOdřejšího;nej-mOdř-ej-š-í-ho
vrhnOti;vrh-n-O-ti
dervišů;derviš-ů
metafyzicky;meta-fyz-ic-k-y
jeskyňe;jeskyň-e
špatňe;špat-ň-e
hlObi;hlOb-i
problematiky;problem-at-ik-y
gloXidy;gloXid-y
jim;j-i-m
posíliti;po-síl-i-ti
přines;při-nes
Xlupy;Xlup-y
raketO;raket-O
Xytlo;Xyt-l-o
očima;oč-i-m-a
vlastní;vlast-n-í
hůře;hůř-e
zakázat;za-káz-a-t
čOdu;čOd-u
potvrzování;po-tvrz-ová-n-í
utkávají;u-tk-á-v-aj-í
o;o
bankovky;bank-ov-k-y
buffinovi;buffin-ovi
možnost;mož-n-ost
hotel;hotel
Xování;Xov-á-n-í
rozcestí;roz-cest-í
oblohu;ob-loh-u
starém;star-é-m
žluté;žlut-é
nožů;nož-ů
vyznají;vy-zn-aj-í
zavřelo;za-vř-e-l-o
za;za
krysí;krys-í
vyvinutí;vy-vi-n-u-t-í
Orazu;O-raz-u
hledej;hled-ej
oXotnické;oXot-n-ic-k-é
nutností;nut-n-ost-í
vnímání;v-ním-á-n-í
vyřídím;vy-říd-í-m
domňenka;do-mň-e-n-k-a
nesXází;ne-s-Xáz-í
informovat;inform-ova-t
intelektuálními;intelekt-u-ál-n-í-m-i
neopírá;ne-o-pír-á
hoc;hoc
kOpel;kOp-el
kterOkoliv;kter-O-koliv
weilovi;weil-ov-i
přesily;pře-sil-y
čase;čas-e
jinýX;jin-ý-X
dolů;dol-ů
zajel;za-je-l
pejsánku;pejs-án-k-u
pOhého;pOh-é-ho
prosimás;prosimás
nejťesňejší;nej-ťesň-ej-š-í
jinde;jin-d-e
Xlapy;Xlap-y
shrnuje;s-hrn-u-j-e
byť;byť
kasa;kas-a
výíííhni;výíííhni
úžas;ú-žas
račte;rač-te
čirý;čir-ý
snažňe;snaž-ň-e
plivnOt;pliv-nO-t
počestnosti;po-čest-n-ost-i
popisného;po-pis-n-é-ho
skrývat;s-krý-v-a-t
podepisuje;pode-pis-u-j-e
jeďte;je-ď-te
renOvijerův;renOvijer-ův
víckrát;víc-krát
okOsanýX;o-kOs-a-n-ý-X
lví;lv-í
kopytenko;kopytenk-o
rodí;rod-í
vJEdeckO;vJEd-ec-k-O
nutkavé;nut-k-a-v-é
nepřinese;ne-při-nes-e
nedrží;ne-drž-í
průplavem;prů-plav-e-m
žemli;žeml-i
starou;star-ou
nejkrajňejší;nej-kraj-ň-ej-š-í
malovány;mal-ová-n-y
máMŇE;máMŇ-E
snahami;snah-a-m-i
úvodníky;ú-vod-n-ík-y
spustila;s-pust-i-l-a
repetil;repet-i-l
nejkrásňejším;nej-krás-ň-ej-š-í-m
menuetům;menuet-ů-m
perníková;per-ník-ov-á
neinteligentní;ne-intelig-ent-n-í
červené;červen-é
čínu;čín-u
notes;notes
hleďelo;hleď-e-l-o
bezcenné;bez-cen-n-é
zjevno;z-jev-n-o
načisto;na-čist-o
